iter	Passed	Remaining
0	283	282897
1	478	238766
2	648	215573
3	846	210852
4	1020	20307355	1234	20448766	1443	20480677	1623	20130388	1838	20245499	2040	202027110	2240	201467111	2457	202309112	2646	200955113	2888	203457114	3071	201718115	3274	201409116	3464	200318117	3682	200914118	3892	200965119	4082	200060220	4293	200143221	4487	199489222	4702	199734223	4880	198492224	5101	198942225	5304	198719226	5511	198605227	5689	197498228	5895	197412229	6082	196674330	6284	196441331	6467	195638332	6687	195958333	6856	194813334	7062	194718335	7228	193552336	7434	193484337	7623	193005338	7825	192820339	8005	192124440	8228	192460441	8421	192095442	8625	191959443	8807	191361444	9020	191435445	9195	190710446	9365	189903447	9542	189266448	9779	189796449	10040	190765550	10304	191745551	10503	191495552	10717	191495553	10893	19084554	11058	190001555	11249	189628556	11422	188976557	11635	188977558	11804	188264559	11992	187884660	12155	187118661	12310	186252662	12511	186077663	12684	185514664	12864	185058665	13029	184385666	13193	183723667	13384	183452668	13554	182889669	13754	182739770	13912	182032771	14067	181315772	14260	181089773	14433	180616774	14639	180554775	14801	179950776	14969	179444777	15161	179222778	15336	178794779	15535	178656880	15717	178320881	15916	178188882	16108	177971883	16281	177544884	16491	177531885	16671	177187886	16883	177182887	17062	176825888	17216	176231889	17415	176089990	17601	175822991	17808	175765992	17983	175385993	18179	175216994	18397	175258995	18568	174851996	18761	174653997	18925	174196998	19129	174097999	19326	1739351100	19497	1735451101	19688	1733331102	19850	1728721103	20002	1723261104	20191	1721061105	20363	1717471106	20527	1713161107	20710	1710551108	20884	1707171109	21081	1705671110	21262	1702931111	21432	1699261112	21620	1697071113	21787	1693291114	21948	1689051115	22142	1687401116	22313	1684001117	22487	1680881118	22687	1679601119	22838	1674791120	23008	1671431121	23214	1670711122	23387	1667531123	23560	1664431124	23780	1664601125	23952	1661461126	24153	1660291127	24336	1657941128	24505	1654601129	24707	1653511130	24873	1649971131	25063	1648121132	25280	1648011133	25460	1645401134	25619	1641531135	25814	1640001136	25988	1637091137	26163	1634301138	26384	1634311139	26552	1631101140	26715	1627571141	26909	1625931142	27089	1623491143	27252	1620011144	27450	1618611145	27626	1615931146	27824	1614571147	28002	1612011148	28165	1608651149	28351	1606601150	28507	1602811151	28647	1598241152	28823	1595631153	28976	1591841154	29118	1587441155	29292	1584781156	29446	1581091157	29590	1576921158	29762	1574251159	29911	1570331160	30052	1566081161	30227	1563611162	30371	1559541163	30557	1557661164	30737	1555521165	30896	1552271166	31057	1549131167	31241	1547201168	31412	1544581169	31606	1543131170	31764	1539931171	31986	1539791172	32156	1537201173	32309	1533781174	32500	1532151175	32662	1529181176	32814	1525771177	32988	1523411178	33155	1520701179	33318	1517821180	33502	1515921181	33667	1513201182	33834	1510541183	33987	1507261184	34179	1505731185	34344	1503051186	34497	1499801187	34681	1497951188	34838	1494911189	34992	1491761190	35176	1489931191	35331	1486871192	35483	1483681193	35666	1481821194	35815	1478541195	35964	1475271196	36146	1473361197	36296	1470201198	36441	1466831199	36604	1464192200	36781	1462102201	36932	1459012202	37116	1457222203	37268	1454212204	37413	1450912205	37596	1449102206	37749	1446132207	37898	1443042208	38077	1441102209	38227	1438092210	38379	1435122211	38530	1432162212	38709	1430242213	38872	1427722214	39022	1424782215	39207	1423102216	39365	1420422217	39543	1418472218	39696	1415642219	39845	1412702220	39998	1409892221	40184	1408272222	40340	1405572223	40491	1402722224	40672	1400952225	40831	1398402226	40986	1395702227	41167	1393902228	41319	1391152229	41471	1388372230	41619	1385522231	41807	1383962232	41954	1381062233	42096	1378032234	42282	1376422235	42441	1373942236	42592	1371212237	42777	1369602238	42927	1366862239	43083	1364322240	43233	1361582241	43400	1359382242	43560	1357012243	43725	1354762244	43871	1351962245	44079	1351062246	44256	1349192247	44408	1346582248	44586	1344772249	44730	1341912250	44891	1339582251	45051	1337222252	45210	1334872253	45365	1332392254	45508	1329552255	45651	1326742256	45831	1325002257	45981	1322402258	46126	1319682259	46304	1317892260	46457	1315392261	46614	1313022262	46756	1310232263	46939	1308602264	47099	1306342265	47255	1303952266	47400	1301292267	47589	1299832268	47751	1297632269	47889	1294782270	48070	1293122271	48219	1290592272	48372	1288172273	48518	1285572274	48701	1283952275	48854	1281552276	48996	1278862277	49143	1276302278	49331	1274832279	49485	1272482280	49631	1269932281	49814	1268322282	49972	1266092283	50119	1263572284	50263	1261002285	50447	1259412286	50600	1257082287	50741	1254432288	50918	1252702289	51073	1250412290	51238	1248382291	51384	1245892292	51572	1244422293	51722	1242032294	51866	1239522295	52011	1237032296	52195	1235472297	52354	1233322298	52499	1230832299	52687	1229373300	52844	1227173301	52994	1224853302	53182	1223363303	53341	1221243304	53495	1219003305	53667	1217173306	53838	1215303307	53979	1212783308	54133	1210553309	54313	1208903310	54477	1206903311	54629	1204653312	54810	1203033313	54966	1200863314	55115	1198533315	55263	1196213316	55447	1194653317	55602	1192483318	55753	1190223319	55912	1188133320	56087	1186393321	56238	1184143322	56384	1181813323	56563	1180153324	56719	1178013325	56874	1175873326	57021	1173563327	57202	1171953328	57346	1169583329	57569	1168833330	57719	1166603331	57905	1165073332	58049	1162723333	58218	1160883334	58408	1159443335	58554	1157153336	58707	1154993337	58856	1152753338	59006	1150533339	59198	1149143340	59355	1147063341	59499	1144763342	59653	1142643343	59826	1140873344	59981	1138773345	60133	1136633346	60307	1134893347	60455	1132673348	60609	1130563349	60769	1128583350	61074	1129273351	61230	1127193352	61372	1124873353	61516	1122583354	61695	1120953355	61853	1118913356	62005	1116793357	62150	1114543358	62298	1112343359	62475	1110673360	62638	1108763361	62788	1106593362	62965	1104933363	63121	1102893364	63278	1100873365	63418	1098553366	63573	1096503367	63745	1094753368	63903	1092763369	64041	1090443370	64193	1088343371	64381	1086863372	64522	1084603373	64674	1082523374	64817	1080293375	65002	1078753376	65154	1076683377	65308	1074653378	65451	1072443379	65635	1070893380	65798	1069013381	65945	1066863382	66095	1064783383	66279	1063233384	66433	1061213385	66611	1059573386	66790	1057943387	67011	1056993388	67187	1055313389	67363	1053633390	67529	1051793391	67724	1050423392	67875	1048363393	68030	1046353394	68181	1044293395	68369	1042803396	68520	1040753397	68681	1038843398	68830	1036773399	68975	1034634400	69170	1033234401	69343	1031524402	69499	1029564403	69685	1028044404	69852	1026234405	70021	1024454406	70186	1022624407	70385	1021274408	70552	1019484409	70701	1017414410	70866	1015574411	71062	1014194412	71231	1012414413	71397	1010604414	71551	1008624415	71729	1006974416	71901	1005244417	72061	1003344418	72229	1001564419	72385	999604420	72549	997764421	72748	996414422	72906	994484423	73061	992524424	73216	990584425	73415	989204426	73564	987174427	73713	985144428	73874	983264429	74061	981744430	74215	979774431	74372	977864432	74523	975864433	74711	974354434	74866	972404435	75029	970564436	75184	968624437	75337	966654438	75526	965164439	75686	963284440	75834	961254441	75992	959354442	76198	958064443	76358	956194444	76521	954364445	76672	952384446	76869	950984447	77023	949044448	77179	947124449	77325	945094450	77525	943714451	77679	941774452	77838	939904453	78001	938074454	78190	936574455	78347	934674456	78512	932864457	78665	930934458	78822	929044459	79015	927564460	79217	926214461	79403	924654462	79555	922704463	79713	920834464	79919	919494465	80107	917974466	80264	916074467	80432	914314468	80664	913274469	80836	911554470	81014	909904471	81174	908054472	81374	906654473	81534	904794474	81705	903064475	81870	901254476	82023	899334477	82225	897944478	82388	896124479	82559	894394480	82722	892574481	82931	891254482	83110	889604483	83293	888004484	83448	886104485	83603	884204486	83836	883124487	84006	881374488	84183	879704489	84332	877754490	84483	875804491	84674	874274492	84828	872374493	84990	870554494	85143	868634495	85339	867164496	85489	865214497	85660	863494498	85814	861584499	86001	860015500	86161	858175501	86324	856365502	86466	854355503	86617	852435504	86812	850935505	86968	849055506	87140	847335507	87293	845435508	87469	843765509	87644	842075510	87806	840265511	87957	838345512	88110	836445513	88311	835005514	88468	833155515	88631	831355516	88779	829405517	88976	827935518	89133	826075519	89294	824255520	89450	822395521	89610	820575522	89800	819015523	89942	817035524	90100	815195525	90244	813225526	90393	811315527	90575	809685528	90722	807755529	90880	805925530	91029	804005531	91195	802245532	91368	800545533	91517	798635534	91666	796725535	91822	794875536	91991	793145537	92165	791465538	92313	789545539	92474	787745540	92607	785715541	92753	783785542	92944	782235543	93096	780375544	93252	778535545	93398	776615546	93547	774715547	93743	773215548	93894	771335549	94048	769495550	94195	767585551	94337	765635552	94528	764095553	94676	762195554	94833	760375555	94982	758495556	95127	756575557	95316	755015558	95464	753125559	95626	751345560	95772	749445561	95920	747565562	96115	746045563	96267	744195564	96422	742365565	96570	740485566	96724	738655567	96938	737275568	97098	735495569	97263	733745570	97428	731995571	97581	730155572	97776	728635573	97943	726895574	98111	725175575	98278	723435576	98436	721645577	98645	720215578	98819	718535579	98992	716845580	99148	715035581	99303	713215582	99512	711775583	99664	709935584	99854	708375585	100033	706758586	100190	704958587	100391	703458588	100545	701558589	100714	699859590	100865	698059591	101027	696259592	101221	694759593	101372	692859594	101533	691159595	101700	689359596	101842	687459597	102035	685959598	102186	684059599	102341	682260600	102487	680460601	102624	678460602	102807	676860603	102951	674960604	103103	673160605	103270	671460606	103423	669660607	103571	667760608	103769	666260609	103919	664461610	104074	662661611	104223	660761612	104373	658961613	104556	657361614	104704	655461615	104864	653661616	105014	651861617	105171	650061618	105355	648461619	105512	646662620	105675	644962621	105823	643162622	106013	641562623	106162	639662624	106318	637962625	106469	636062626	106614	634262627	106768	632462628	106946	630762629	107102	629063630	107262	627263631	107403	625363632	107548	623563633	107730	621963634	107886	620163635	108042	618363636	108196	616563637	108335	614663638	108521	613063639	108679	611364640	108838	609564641	108983	607764642	109133	605964643	109310	604264644	109461	602464645	109615	600664646	109753	598864647	109887	596964648	110068	595264649	110212	593465650	110364	591665651	110505	589865652	110655	588065653	110838	586365654	110984	584565655	111134	582765656	111278	580965657	111435	579165658	111592	577465659	111770	575766660	111921	573966661	112076	572266662	112219	570466663	112358	568566664	112546	566966665	112688	565166666	112835	563366667	112989	561566668	113148	559866669	113312	558167670	113475	556367671	113625	554567672	113778	552867673	113926	551067674	114100	549367675	114301	547867676	114464	546167677	114619	544367678	114783	542667679	114944	540968680	115147	539368681	115300	537668682	115470	535968683	115620	534168684	115774	532368685	115963	530768686	116134	529168687	116291	527368688	116457	525668689	116615	523969690	116770	522169691	116964	520569692	117128	518869693	117294	517169694	117439	515369695	117588	513669696	117738	511869697	117913	510169698	118066	508469699	118234	506770700	118379	504970701	118526	503170702	118720	501570703	118868	499770704	119030	498070705	119208	496470706	119403	494870707	119547	493070708	119705	491370709	119846	489571710	120002	487771711	120202	486271712	120350	484471713	120498	482671714	120645	480871715	120786	479071716	120933	477371717	121131	475771718	121283	474071719	121441	472272720	121584	470472721	121726	468672722	121869	466972723	122056	465272724	122203	463572725	122363	461872726	122497	459972727	122637	458272728	122790	456472729	122969	454873730	123116	453073731	123275	451373732	123417	449573733	123563	447773734	123749	446173735	123893	444473736	124049	442673737	124200	440973738	124344	439173739	124494	437474740	124682	435774741	124840	434074742	124986	432374743	125126	430574744	125270	428774745	125465	427174746	125614	425474747	125769	423774748	125926	421974749	126079	420275750	126224	418575751	126397	416875752	126552	415175753	126710	413475754	126860	411675755	127000	409875756	127188	408275757	127331	406575758	127481	404775759	127636	403076760	127782	401376761	127925	399576762	128124	397976763	128273	396276764	128431	394576765	128575	392776766	128724	391076767	128907	389476768	129057	387676769	129205	385977770	129366	384277771	129514	382577772	129666	380777773	129855	379177774	130003	377477775	130158	375777776	130305	373977777	130453	372277778	130599	370577779	130779	368878780	130926	367178781	131080	365478782	131220	363678783	131367	361978784	131513	360178785	131702	358578786	131844	356878787	131995	355178788	132145	353378789	132291	351679790	132434	349979791	132622	348379792	132769	346579793	132925	344879794	133077	343179795	133226	341479796	133415	339879797	133565	338079798	133712	336379799	133880	334780800	134027	332980801	134168	331280802	134351	329680803	134503	327880804	134659	326180805	134804	324480806	134949	322780807	135104	321080808	135287	319480809	135433	3176810	135597	31600
811	135737	31426
812	135884	31254
813	136026	31082
814	136217	30920
815	136367	30749
816	136523	30580
817	136674	30409
818	136820	30237
819	136964	30065
820	137153	29903
821	137305	29732
822	137454	29561
823	137605	29391
824	137750	29219
825	137898	29048
826	138094	28887
827	138236	28715
828	138400	28548
829	138542	28376
830	138685	28204
831	138875	28042
832	139021	27871
833	139170	27700
834	139331	27532
835	139474	27360
836	139613	27188
837	139794	27024
838	139939	26853
839	140109	26687
840	140261	26517
841	140405	26346
842	140543	26174
843	140730	26011
844	140883	25842
845	141038	25673
846	141182	25502
847	141324	25331
848	141503	25167
849	141652	24997
850	141801	24827
851	141964	24660
852	142111	24490
853	142251	24319
854	142437	24156
855	142586	23986
856	142736	23817
857	142885	23647
858	143028	23477
859	143172	23307
860	143358	23143
861	143508	22974
862	143668	22807
863	143820	22638
864	143966	22468
865	144107	22298
866	144278	22132
867	144451	21967
868	144605	21798
869	144752	21629
870	144898	21460
871	145049	21291
872	145248	21130
873	145399	20961
874	145554	20793
875	145713	20626
876	145858	20456
877	146006	20287
878	146198	20125
879	146347	19956
880	146507	19789
881	146655	19620
882	146803	19451
883	146949	19282
884	147142	19120
885	147286	18951
886	147448	18784
887	147591	18615
888	147740	18446
889	147924	18282
890	148077	18114
891	148230	17947
892	148385	17779
893	148532	17611
894	148671	17441
895	148826	17274
896	149016	17111
897	149160	16942
898	149318	16775
899	149461	16606
900	149611	16438
901	149816	16277
902	149975	16110
903	150128	15942
904	150279	15775
905	150429	15607
906	150567	15438
907	150757	15275
908	150908	15107
909	151066	14940
910	151220	14773
911	151362	14605
912	151503	14436
913	151671	14271
914	151840	14105
915	151982	13937
916	152144	13770
917	152293	13603
918	152444	13436
919	152590	13268
920	152777	13104
921	152940	12938
922	153089	12771
923	153237	12603
924	153378	12436
925	153569	12272
926	153707	12104
927	153868	11938
928	154024	11771
929	154164	11603
930	154304	11436
931	154503	11272
932	154647	11105
933	154791	10938
934	154955	10772
935	155099	10605
936	155243	10437
937	155447	10274
938	155595	10107
939	155751	9941
940	155910	9775
941	156061	9608
942	156212	9442
943	156379	9276
944	156568	9112
945	156730	8946
946	156895	8780
947	157053	8614
948	157207	8448
949	157359	8282
950	157557	8118
951	157702	7951
952	157868	7785
953	158018	7619
954	158172	7453
955	158321	7286
956	158522	7122
957	158672	6956
958	158825	6790
959	158981	6624
960	159140	6458
961	159289	6292
962	159481	6127
963	159628	5961
964	159792	5795
965	159960	5630
966	160113	5464
967	160265	5298
968	160433	5132
969	160600	4967
970	160751	4801
971	160916	4635
972	161070	4469
973	161218	4303
974	161372	4137
975	161563	3972
976	161717	3807
977	161867	3641
978	162028	3475
979	162181	3309
980	162336	3144
981	162516	2978
982	162694	2813
983	162850	2647
984	163015	2482
985	163164	2316
986	163311	2151
987	163508	1985
988	163658	1820
989	163811	1654
990	163981	1489
991	164138	1323
992	164292	1158
993	164454	992
994	164649	827
995	164797	661
996	164972	496
997	165128	330
998	165278	165
999	165443	0
0
